id,name,iri
1,ElectricPower,https://qudt.org/vocab/quantitykind/ElectricPower
2,Temperature,http://qudt.org/vocab/quantitykind/Temperature
3,ElectricCurrent,http://qudt.org/vocab/quantitykind/ElectricCurrent
4,Volume,http://qudt.org/vocab/quantitykind/Volume
5,Irradiance,http://qudt.org/vocab/quantitykind/Irradiance
6,AmbientPressure,https://qudt.org/vocab/quantitykind/AmbientPressure
7,RelativeHumidity,https://qudt.org/vocab/quantitykind/RelativeHumidity
8,ReactivePower,http://qudt.org/vocab/quantitykind/ReactivePower
9,PowerFactor,http://qudt.org/vocab/quantitykind/PowerFactor
10,ThermalEnergy,https://qudt.org/vocab/quantitykind/ThermalEnergy
11,Power,https://qudt.org/vocab/quantitykind/Power
12,Concentration,https://qudt.org/vocab/quantitykind/Concentration
